Name,City,Category,Lat,Lon
FRANKFURTS CASA VALLES,Barcelona,Sandwich,41.40031052,2.155044794
Àpat,Barcelona,catalana,41.39200974,2.154367685
Bembi,Barcelona,indian,41.39367294,2.169064283
Dionisos,Barcelona,greek,41.40299606,2.156223536
La Bella Napoli,Barcelona,italian,41.38507843,2.156811476
La Verònica,Barcelona,italian,41.37973785,2.168020725
Matsuri,Barcelona,japanese,41.38169861,2.178725958
Miu,Barcelona,japanese,41.39273834,2.163196802
Out of China,Barcelona,chinese,41.38859558,2.156984091
Piazze d'Italia,Barcelona,italian,41.38694763,2.156903028
Ginos,Barcelona,italian,41.39226532,2.143907309
Ginos,Barcelona,italian,41.40499496,2.192456961
Pim Pam Burger,Barcelona,american,41.38576889,2.182441473
Pim Pam Burger,Barcelona,american,41.4046936,2.132278919
Grill Room,Barcelona,Modern,41.3792572,2.17608285
Ándele,Barcelona,mexican,41.3939476,2.135629892
RANGOLI,Barcelona,indian,41.37489319,2.188529968
Rangoli,Barcelona,indian,41.37511444,2.188668013
Watatsumi,Barcelona,japanese,41.37579727,2.150023222
Hanoi,Barcelona,Vietnamita,41.38943863,2.160924196
Barraval,Barcelona,tapas,41.37974548,2.167819023
Casa Palet 1920,Barcelona,catalana,41.39984894,2.150737524
La Mary,Barcelona,mediterranean,41.39025116,2.146114111
Ebano,Barcelona,international,41.37513351,2.161989212
Rita Rouge,Barcelona,Modern,41.38208389,2.169999599
Cremeria Toscana,Barcelona,Helados,41.39134979,2.152971745
Pim pam Plats,Barcelona,international,41.38576889,2.182441473
Surya,Barcelona,indian,41.39031601,2.170330524
Vitae,Barcelona,mediterranean,41.38153839,2.176811934
Santa Burg,Barcelona,american,41.37973022,2.136761189
La Mamounia,Barcelona,Moroccan,41.38951492,2.158911705
Margherita,Barcelona,italian,41.39511871,2.159536839
Mayura,Barcelona,indian,41.39386749,2.17220521
Au nom de la rose,Barcelona,Flowers,41.39012146,2.159637928
Aapka,Berlin,indian,52.53411865,13.40469933
Hasir Ost,Berlin,oriental,52.52382278,13.4013195
Hasir West,Berlin,oriental,52.50048065,13.33691978
Kien-Du-Kiang-Thong,Berlin,thai,52.51457977,13.30124855
Kuchi,Berlin,japanese,52.52724457,13.39923668
Midtown Grill,Berlin,american,52.51089096,13.37640953
Mylos,Berlin,greek,52.50653839,13.2962904
Namaskar,Berlin,indian,52.49622345,13.32756901
Tipica,Berlin,mexican,52.52153397,13.40492725
Basi'l,Berlin,italian,52.52348709,13.40489388
Midtown grill ec,Berlin,undefined,0,0
Yumcha heroes ec,Berlin,undefined,0,0
Papaya,Berlin,thai,52.48968124,13.36038971
Papaya,Berlin,thai,52.51071548,13.45789909
Russisches Café Voland,Berlin,russian,52.54973602,13.41842556
Ming Dynastie,Berlin,chinese,52.50430298,13.33683395
Ming Dynastie,Berlin,chinese,52.51337814,13.41784096
cha chã Positive Eating,Berlin,thai,52.51195145,13.38983059
Nuova Mirabella,Berlin,italian,52.4655571,13.38375187
Cicciolina,Berlin,italian,52.49876785,13.43153858
Cana,Berlin,arabic,52.51218796,13.40868282
nanoosh,Berlin,mediterranean,52.51239014,13.39101982
Royal Elephant,Berlin,thai,52.53874969,13.40826035
Sushi Circle,Berlin,japanese,52.50516129,13.3333149
Kori & Fay,Berlin,thai,52.50061035,13.31023979
Restaurant East,Berlin,chinese,52.50722885,13.32114792
La Corniche,Berlin,oriental,52.47809982,13.3281908
Moms Favourite,Berlin,german,52.50850677,13.37349796
Jolesch,Berlin,austrian,52.50080109,13.43385983
Meena Kumari,Berlin,Pakistani,52.54158401,13.41479969
Maria und Josef,Berlin,Bavarian,52.44350815,13.29528999
Allegretto A Tavola,Berlin,italian,52.52082062,13.4018898
Anantha Raja,Berlin,indian,52.49113083,13.39402008
DALUMA,Berlin,vegan,52.53047943,13.40248013
LAAUMA,Berlin,vegan,52.50627136,13.46531105
Le Clan des Belges,Bruxelles,Belge,50.83562851,4.364764214
Le Mitsui,Bruxelles,japanese,50.82117844,4.360868931
L'Atelier de la Truffe Noire,Bruxelles,french,50.82391357,4.367728233
La Cité du Dragon,Bruxelles,chinese,50.80050659,4.375072479
