Name,Rating,City,Category,Lat,Lon
Siamin,8.02,Paris,thai,48.86685562,2.307692766
Kok Ping,8.27,Paris,chinese,48.8731575,2.300238371
Chez Bebert,8.67,Paris,Moroccan,48.84389877,2.324668407
Fuxia,7.88,Paris,italian,48.87052155,2.285145998
Fuxia,7.88,Paris,italian,48.87849045,2.339607
Fuxia,7.88,Paris,italian,48.85554123,2.357434988
Fuxia,7.88,Paris,italian,48.84760666,2.34021759
Fuxia,7.88,Paris,italian,48.88305664,2.308319092
Bouillon Racine,8.19,Paris,brasserie,48.85018158,2.342050076
Razowski's,7.6,Paris,american,48.8669014,2.33219409
Noura,7.93,Paris,lebanese,48.86736679,2.299093723
Chez Françoise,8.26,Paris,brasserie,48.86252213,2.314783335
La Romantica Caffe,8.2,Paris,italian,48.86846542,2.324838161
La Marée,8.05,Paris,french,48.87731552,2.300439119
Oh,8.27,Paris,,48.87204742,2.339892864
Street Art,7.98,Lyon,american,45.76721954,4.854697704
L'Indochine,8.05,Lyon,chinese,45.75463867,4.841802597
Palais de l'Inde,8.06,Paris,indian,48.86510849,2.395795107
Palais de l'Inde,8.06,Paris,indian,48.83706665,2.35087657
Le Clan des Belges,8.06,Bruxelles,Belge,50.83562851,4.364764214
Toi Restaurant,8.37,Paris,french,48.87113953,2.3090837
Momiji,7.92,Paris,japanese,48.85440826,2.371204138
Le Nodaiwa,8.46,Paris,japanese,48.86438751,2.333277225
Le PDG (rive gauche),7.83,Paris,Burger,48.85375977,2.331297636
Le Jaipur,8.15,Marseille,indian,43.29391098,5.373437881
Al Dente,8.39,Marseille,italian,43.2893486,5.379692554
Le Mitsui,8.11,Bruxelles,japanese,50.82117844,4.360868931
L'Atelier de la Truffe Noire,8.82,Bruxelles,french,50.82391357,4.367728233
La Cité du Dragon,8.35,Bruxelles,chinese,50.80050659,4.375072479
Ricotta et Parmesan,7.96,Bruxelles,italian,50.84895325,4.353996277
Le Sushi,8.04,Bruxelles,japanese,50.8382988,4.397843838
Le Shogun,7.84,Bruxelles,japanese,50.83595657,4.357902527
Le Shanti,8.63,Bruxelles,vegetarian,50.8169136,4.381846905
Au Palais des Indes,8.19,Bruxelles,indian,50.82449341,4.366321564
Pompéi,7.88,Lyon,italian,45.76381302,4.866625786
La Mamounia,8.38,Lyon,Moroccan,45.76607895,4.83658123
La Pataterie,8.12,Lyon,,45.72964859,4.830924988
Le Mont Liban,8.21,Lyon,lebanese,45.76373291,4.832613945
Le Liban Vert,8.16,Lyon,lebanese,45.75078201,4.830572128
Chez Quan,8.73,Marseille,chinese,43.25498962,5.376354218
La Kahena,8.47,Marseille,tunisian,43.29636002,5.374120235
Al Jennah,7.96,Marseille,lebanese,43.29490662,5.382894516
