Name,Rating,City,Category,Lat,Lon
KOK PING,8.27,Paris,chinese,48.8731575,2.300238371
Chez Bebert,8.67,Paris,Moroccan,48.84389877,2.324668407
FUXIA 75016,7.88,Paris,italian,48.87052155,2.285145998
FUXIA 75009,7.88,Paris,italian,48.87849045,2.339607
FUXIA 75004,7.88,Paris,italian,48.85554123,2.357434988
FUXIA 75006,7.88,Paris,italian,48.84760666,2.34021759
Fuxia 75017,7.88,Paris,italian,48.88305664,2.308319092
BOUILLON RACINE,8.19,Paris,brasserie,48.85018158,2.342050076
RAZOWSKI'S,7.6,Paris,american,48.8669014,2.33219409
NOURA 75016,7.93,Paris,lebanese,48.86736679,2.299093723
CHEZ FRANCOISE,8.26,Paris,brasserie,48.86252213,2.314783335
ROMANTICA CAFFE 8ème,8.2,Paris,italian,48.86846542,2.324838161
OH,8.27,Paris,,48.87204742,2.339892864
LE STREET ART,7.98,Lyon,american,45.76721954,4.854697704
L'INDOCHINE,8.05,Lyon,chinese,45.75463867,4.841802597
PALAIS DE L'INDE 75020,8.05,Paris,indian,48.86510849,2.395795107
PALAIS DE L'INDE 75005,8.05,Paris,indian,48.83706665,2.35087657
Clan des Belges,8.06,Bruxelles,Belge,50.83562851,4.364764214
TOI RESTAURANT,8.37,Paris,french,48.87113953,2.3090837
MOMIJI,7.92,Paris,japanese,48.85440826,2.371204138
NODAIWA,8.46,Paris,japanese,48.86438751,2.333277225
PDG 75006,7.83,Paris,Burger,48.85375977,2.331297636
LE JAIPUR,8.15,Marseille,indian,43.29391098,5.373437881
AL DENTE,8.39,Marseille,italian,43.2893486,5.379692554
LE MITSUI,8.11,Bruxelles,japanese,50.82117844,4.360868931
L'ATELIER DE LA TRUFFE NOIRE,8.82,Bruxelles,french,50.82391357,4.367728233
LA CITE DU DRAGON,8.35,Bruxelles,chinese,50.80050659,4.375072479
RICOTTA ET PARMESAN,7.96,Bruxelles,italian,50.84895325,4.353996277
LE SUSHI,8.04,Bruxelles,japanese,50.8382988,4.397843838
LE SHOGUN,7.84,Bruxelles,japanese,50.83595657,4.357902527
LE SHANTI,8.63,Bruxelles,vegetarian,50.8169136,4.381846905
AU PALAIS DES INDES,8.19,Bruxelles,indian,50.82449341,4.366321564
LE POMPEI,7.88,Lyon,italian,45.76381302,4.866625786
LA MAMOUNIA,8.38,Lyon,Moroccan,45.76607895,4.83658123
PATATERIE,8.12,Lyon,,45.72964859,4.830924988
LE MONT LIBAN,8.21,Lyon,lebanese,45.76373291,4.832613945
LE LIBAN VERT,8.16,Lyon,lebanese,45.75078201,4.830572128
CHEZ QUAN,8.73,Marseille,chinese,43.25498962,5.376354218
LA KAHENA,8.47,Marseille,tunisian,43.29636002,5.374120235
AL JENNAH,7.96,Marseille,lebanese,43.29490662,5.382894516
LE SPICY GRILL,7.97,Bruxelles,indian,50.84499741,4.380447865
CHI CHI'S,8.04,Bruxelles,mexican,50.85031891,4.351332664
Chi Chi's Wemmel,8.04,Bruxelles,mexican,50.9098053,4.306290627
Chichi's Ixelles,8.04,Bruxelles,mexican,50.81633759,4.391108036
Makande sprl-LA VILLA ROSA,8.39,Bruxelles,Spanish,50.83391571,4.344981194
EAT EAST,8.54,Bruxelles,thai,50.80802155,4.370378971
LAL QILA,7.8,Lyon,indian,45.76576614,4.827629566
L'ETOILE D'ORIENT,8.04,Lyon,Moroccan,45.75271606,4.831299305
LE KARACHI,8.25,Lyon,indian,45.75875854,4.852268219
VINI CUCINA,8.31,Bruxelles,italian,50.80694199,4.371666908
TRUFFES FOLIES,7.75,Paris,,48.85972595,2.306326628
L'HUITRIER,8.71,Paris,fruits de mer,48.87976074,2.296103477
LA BROCELIANDE,8.32,Marseille,crepes,43.29299164,5.373156071
